NAME,0.0,1.0S,10.0S,1.0MI,10.0MI,1.0HR,10.0HR,1.0D,10.0D,50.0D,100.0D,142.0D
H-1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
H-2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
H-3,0.000e+00,2.142e-11,2.142e-10,1.285e-09,1.285e-08,7.710e-08,7.710e-07,1.850e-06,1.850e-05,9.282e-05,1.864e-04,2.659e-04
H-4,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
HE-3,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
HE-4,0.000e+00,5.771e-15,5.771e-14,3.462e-13,3.462e-12,2.077e-11,2.082e-10,5.054e-10,9.315e-09,2.612e-07,1.679e-06,5.809e-06
HE-6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
LI-6,0.000e+00,1.927e-13,1.927e-12,1.156e-11,1.156e-10,6.936e-10,6.930e-09,1.661e-08,1.626e-07,7.359e-07,1.273e-06,1.566e-06
LI-7,0.000e+00,4.496e-15,4.496e-14,2.698e-13,2.698e-12,1.619e-11,1.619e-10,3.885e-10,3.882e-09,1.939e-08,3.872e-08,5.494e-08
LI-8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
BE-10,0.000e+00,5.781e-14,5.781e-13,3.469e-12,3.469e-11,2.081e-10,2.081e-09,4.995e-09,4.990e-08,2.493e-07,4.977e-07,7.061e-07
BE-11,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
BE-8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
BE-9,0.000e+00,8.671e-15,8.671e-14,5.203e-13,5.203e-12,3.122e-11,3.122e-10,7.492e-10,7.485e-09,3.738e-08,7.462e-08,1.058e-07
B-10,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
B-11,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
B-12,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
C-12,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
C-13,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
